                                mean        sd    hdi_3%   hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
area_l[10, 0]               1292.557    37.675  1191.447  1323.444     12.837   14.297      18.0      24.0   1.36
area_l[10, 1]                188.396     8.495   173.394   203.633      1.506    0.741      30.0     208.0   1.18
area_l[10, 2]                159.344    71.587    81.271   271.506     24.533    6.505      13.0     122.0   1.68
area_l[11, 0]                872.584    55.151   748.113   963.887     15.137   13.233      20.0      23.0   1.31
area_l[11, 1]                 33.651    12.738    10.884    56.305      0.534    0.233     857.0    3267.0   1.02
area_l[11, 2]                191.404    70.243    97.161   320.942     21.489    5.272      13.0     137.0   1.61
area_l[12, 0]                821.161   111.444   523.450   890.528     38.748   43.743      19.0      23.0   1.34
area_l[12, 1]                 24.088     8.129    11.763    39.604      2.131    0.710      16.0     112.0   1.45
area_l[12, 2]                221.477   131.981    71.328   404.382     45.165    2.509      12.0     135.0   1.73
area_l[13, 0]                844.941   100.043   578.349   908.297     34.747   39.232      20.0      23.0   1.32
area_l[13, 1]                 27.222     8.013    14.115    42.413      2.036    0.645      16.0     107.0   1.42
area_l[13, 2]                219.680   127.433    73.396   399.806     43.706    5.759      12.0     184.0   1.83
area_r[0, 0]                   0.000     0.000     0.000     0.000      0.000      NaN    4000.0    4000.0    NaN
area_r[0, 1]                 123.170    73.420    22.142   242.491     25.106   11.132      10.0      23.0   2.20
area_r[0, 2]                  52.979    14.641    26.120    79.693      1.273    0.265     136.0    1975.0   1.04
area_r[1, 0]                   0.000     0.000     0.000     0.000      0.000      NaN    4000.0    4000.0    NaN
area_r[1, 1]                 142.962    89.959    21.840   287.290     30.990   12.788      10.0      23.0   2.20
area_r[1, 2]                 203.987    34.875   149.425   270.096      9.968    2.048      14.0     130.0   1.55
area_r[2, 0]                   0.000     0.000     0.000     0.000      0.000      NaN    4000.0    4000.0    NaN
area_r[2, 1]                 211.453   140.968    22.406   391.642     48.971   14.650      11.0      23.0   2.12
area_r[2, 2]                 458.590    69.313   371.863   577.615     22.914    5.654      12.0     133.0   1.75
area_r[3, 0]                   0.000     0.000     0.000     0.000      0.000      NaN    4000.0    4000.0    NaN
area_r[3, 1]                 155.379   104.409    22.701   338.423     35.837   16.770      10.0      23.0   2.19
area_r[3, 2]                 897.820    61.702   808.333  1006.824     19.419    4.407      13.0     118.0   1.64
area_r[4, 0]                   0.000     0.000     0.000     0.000      0.000      NaN    4000.0    4000.0    NaN
area_r[4, 1]                 184.660   123.469    22.520   357.377     41.765   13.020      11.0      27.0   1.99
area_r[4, 2]                1375.276   424.693   766.007  1927.207    142.836    1.921      13.0     198.0   1.70
area_r[5, 0]                   0.000     0.000     0.000     0.000      0.000      NaN    4000.0    4000.0    NaN
area_r[5, 1]                 686.466   526.073    23.713  1215.207    184.104   45.100      11.0     128.0   1.89
area_r[5, 2]                2563.008   447.199  2054.639  3141.630    155.970   28.173      11.0     136.0   1.89
area_r[6, 0]                   0.000     0.000     0.000     0.000      0.000      NaN    4000.0    4000.0    NaN
area_r[6, 1]                 656.916   495.927    23.165  1145.507    173.512   43.921      11.0     113.0   1.89
area_r[6, 2]                2740.166   415.517  2275.127  3291.734    144.781   28.135      11.0     134.0   1.89
area_r[7, 0]                   0.000     0.000     0.000     0.000      0.000      NaN    4000.0    4000.0    NaN
area_r[7, 1]                  94.973    50.894    27.200   194.370     17.422   10.070      10.0      23.0   2.19
area_r[7, 2]                  37.923     9.602    21.275    55.945      1.266    0.146      58.0    1110.0   1.09
area_r[8, 0]                   0.000     0.000     0.000     0.000      0.000      NaN    4000.0    4000.0    NaN
area_r[8, 1]                 134.797    83.623    24.852   280.348     29.022   13.727      10.0      23.0   2.20
area_r[8, 2]                 241.174    30.555   197.358   295.186      9.635    2.250      13.0     115.0   1.64
area_r[9, 0]                   0.000     0.000     0.000     0.000      0.000      NaN    4000.0    4000.0    NaN
area_r[9, 1]                 235.668   157.952    22.723   413.656     55.158   15.190      10.0      23.0   2.16
area_r[9, 2]                 488.886    74.955   394.842   609.044     25.260    5.759      12.0     128.0   1.88
area_r[10, 0]                  0.000     0.000     0.000     0.000      0.000      NaN    4000.0    4000.0    NaN
area_r[10, 1]                137.951    94.231    22.623   315.167     32.659   18.035      10.0      24.0   2.20
area_r[10, 2]                929.060    55.495   857.848  1020.285     18.423    4.263      13.0     108.0   1.65
area_r[11, 0]                  0.000     0.000     0.000     0.000      0.000      NaN    4000.0    4000.0    NaN
area_r[11, 1]                139.342   100.658    21.797   342.132     34.304   23.700      10.0      23.0   2.20
area_r[11, 2]               1430.407    66.956  1319.459  1550.101     19.243    4.191      14.0     108.0   1.56
area_r[12, 0]                  0.000     0.000     0.000     0.000      0.000      NaN    4000.0    4000.0    NaN
