                                    mean       sd    hdi_3%   hdi_97%  mcse_mean  mcse_sd   ess_bulk   ess_tail  r_hat
mu[3, 2]                           3.306    0.001     3.304     3.309      0.000    0.000  10149.513  11351.325  1.000
mu[3, 3]                           3.338    0.002     3.335     3.341      0.000    0.000   9421.860  10757.863  1.000
mu[4, 0]                           2.704    0.003     2.699     2.709      0.000    0.000  14330.482  11867.967  1.000
mu[4, 1]                           2.739    0.004     2.732     2.746      0.000    0.000  12084.068  12718.472  1.001
mu[4, 2]                           3.301    0.002     3.297     3.304      0.000    0.000  10393.782  11411.923  1.000
mu[4, 3]                           3.333    0.002     3.329     3.336      0.000    0.000  10268.898  10716.566  1.000
mu_center[0, 0]                    2.723    0.004     2.717     2.730      0.000    0.000  17110.937  11593.638  1.000
mu_center[0, 1]                    3.314    0.001     3.312     3.316      0.000    0.000  12846.309  12307.067  1.001
mu_center[1, 0]                    2.722    0.004     2.715     2.728      0.000    0.000  16769.741   9950.279  1.000
mu_center[1, 1]                    3.315    0.001     3.313     3.317      0.000    0.000  11482.987  12250.541  1.000
mu_center[2, 0]                    2.724    0.003     2.718     2.730      0.000    0.000  17490.488  12037.246  1.000
mu_center[2, 1]                    3.316    0.001     3.314     3.318      0.000    0.000  12384.144  11991.186  1.001
mu_center[3, 0]                    2.726    0.003     2.720     2.732      0.000    0.000  13906.057  11626.121  1.001
mu_center[3, 1]                    3.322    0.001     3.320     3.325      0.000    0.000  10050.915  11136.297  1.000
mu_center[4, 0]                    2.722    0.003     2.716     2.727      0.000    0.000  12713.308  11884.369  1.001
mu_center[4, 1]                    3.317    0.002     3.313     3.320      0.000    0.000  10805.444  10411.049  1.001
separation[0]                      0.035    0.003     0.029     0.041      0.000    0.000  13026.427  12462.810  1.001
separation[1]                      0.032    0.001     0.030     0.034      0.000    0.000   8822.103   9702.005  1.000
sigma[0, 0]                        0.048    0.002     0.044     0.052      0.000    0.000  15828.042  11870.530  1.000
sigma[0, 1]                        0.055    0.002     0.051     0.059      0.000    0.000  20637.857  13450.732  1.001
sigma[0, 2]                        0.051    0.001     0.050     0.053      0.000    0.000  23793.793  10480.912  1.000
sigma[0, 3]                        0.049    0.001     0.047     0.051      0.000    0.000  12169.268  11870.278  1.000
sigma[1, 0]                        0.048    0.002     0.044     0.052      0.000    0.000  15657.853  11593.910  1.001
sigma[1, 1]                        0.055    0.002     0.051     0.059      0.000    0.000  19909.371  13659.975  1.000
sigma[1, 2]                        0.051    0.001     0.049     0.052      0.000    0.000  25163.432  11697.395  1.000
sigma[1, 3]                        0.049    0.001     0.047     0.051      0.000    0.000  11293.766  11473.409  1.000
sigma[2, 0]                        0.049    0.002     0.045     0.053      0.000    0.000  18712.379  12001.387  1.001
sigma[2, 1]                        0.057    0.002     0.053     0.061      0.000    0.000  17559.998  13813.784  1.000
sigma[2, 2]                        0.053    0.001     0.051     0.054      0.000    0.000  25067.514  12317.896  1.000
sigma[2, 3]                        0.050    0.001     0.048     0.052      0.000    0.000  11715.865  11765.798  1.000
sigma[3, 0]                        0.051    0.002     0.048     0.055      0.000    0.000  19262.168  11747.275  1.001
sigma[3, 1]                        0.057    0.002     0.054     0.061      0.000    0.000  14492.921  12734.891  1.000
sigma[3, 2]                        0.057    0.001     0.056     0.058      0.000    0.000  19617.434  12486.933  1.000
sigma[3, 3]                        0.045    0.001     0.043     0.047      0.000    0.000  10119.850  11261.881  1.000
sigma[4, 0]                        0.052    0.002     0.049     0.055      0.000    0.000  16164.482  11824.671  1.001
sigma[4, 1]                        0.064    0.002     0.060     0.067      0.000    0.000  12643.899  12763.075  1.001
sigma[4, 2]                        0.058    0.001     0.057     0.059      0.000    0.000  18981.436  12750.924  1.000
sigma[4, 3]                        0.053    0.001     0.051     0.055      0.000    0.000  11605.904  12388.611  1.000
sigma_y[0]                       466.292   36.273   399.838   534.716      0.237    0.314  24349.239  12206.184  1.000
sigma_y[1]                       467.639   35.678   403.422   535.947      0.233    0.288  23955.841  12536.133  1.000
sigma_y[2]                       430.365   33.558   371.429   496.026      0.222    0.298  23638.762  11916.701  1.000
sigma_y[3]                       473.564   39.842   400.979   548.767      0.306    0.334  17550.451  12005.589  1.000
sigma_y[4]                       364.101   29.175   311.655   419.723      0.193    0.237  23359.646  12867.950  1.000
